city,companyFullName,companyId,createTime,education,positionId,positionName,salary,workYear
深圳,深圳布谷鸟信息科技有限公司,148452,2018-02-24 16:45:59,本科,4115949,Python开发工程师,10k-20k,1-3年
上海,上海微麦电子商务发展有限公司,6112,2018-02-24 11:06:21,本科,3963448,python,10k-20k,1-3年
深圳,心灵失重（北京）科技有限公司,1015,2018-02-24 10:33:09,本科,2268991,Python,15k-30k,3-5年
郑州,郑州创恒实业有限公司,28890,2018-02-23 14:14:54,大专,3222466,Python开发工程师,5k-10k,1-3年
北京,北京钱方银通科技有限公司,1748,2018-02-22 11:35:56,本科,3455542,Python开发,20k-30k,3-5年
北京,北京金风科创风电设备有限公司,143967,2018-02-24 15:14:52,本科,4140619,2018研发-Python 开发工程师J13163,13k-23k,3-5年
深圳,深圳市猎芯科技有限公司,114731,2018-02-24 14:29:42,大专,3190026,Python工程师,15k-29k,3-5年
上海,上海优刻得信息科技有限公司,165,2018-02-23 17:33:26,本科,3911329,高级Python开发工程师,25k-35k,5-10年
上海,拉扎斯网络科技（上海）有限公司,51480,2018-02-24 18:45:26,本科,1349190,Python高级开发工程师,15k-30k,3-5年
上海,上海悦易网络信息技术有限公司,1403,2018-02-24 18:02:01,本科,4112320,python工程师,15k-25k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:45:36,本科,3873302,资深Python工程师,25k-35k,5-10年
北京,北京陌上花科技有限公司,29151,2018-02-24 10:42:01,本科,3307756,Python开发工程师,15k-30k,3-5年
北京,北京春雨天下软件有限公司,4510,2018-02-23 18:19:16,本科,2182008,Python,20k-40k,3-5年
上海,无锡华云数据技术服务有限公司,36719,2018-02-24 17:56:55,本科,2438996,Python开发工程师,18k-28k,3-5年
上海,竹间智能科技（上海）有限公司,98800,2018-02-24 13:51:15,本科,3965194,Python 开发工程师,20k以上,不限
武汉,武汉北蚁网络科技有限公司,200100,2018-02-24 11:01:28,大专,3957696,Python高级开发工程师,10k-15k,3-5年
武汉,武汉佰钧成技术有限责任公司,16831,2018-02-24 08:47:41,大专,3313488,Python,15k-30k,3-5年
上海,行吟信息科技（上海）有限公司,6542,2018-02-23 18:45:14,本科,4135794,Python开发工程师,20k-40k,1-3年
北京,况客科技(北京)有限公司,59792,2018-02-24 12:29:31,本科,4072563,Python 工程师,15k-30k,1-3年
北京,深圳市麦达数字股份有限公司,124962,2018-02-24 10:12:49,本科,3486245,PYTHON研发工程师,25k-35k,3-5年
南京,北京顶象技术有限公司,211621,2018-02-23 18:25:57,本科,3988199,资深开发工程师-C/Python,15k-30k,3-5年
杭州,杭州神中科技有限公司,284208,2018-02-23 14:00:49,本科,4132057,Python,8k-15k,1-3年
南京,南京厚建软件有限责任公司,12163,2018-02-23 09:38:57,本科,4129501,Python软件开发工程师,7k-14k,1-3年
北京,便利蜂商贸有限公司,175557,2018-02-12 15:43:21,本科,4050597,python开发,15k-30k,3-5年
北京,北京阿博茨科技有限公司,129068,2018-02-07 20:02:03,本科,4112399,Python研发工程师,15k-30k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:40:56,本科,3469697,Python软件开发工程师,15k-25k,3-5年
廊坊,智线云科技（北京）有限公司,111175,2018-02-24 14:21:25,本科,3390706,Python中级工程师,8k-10k,1-3年
深圳,金蝶软件（中国）有限公司,6566,2018-02-24 08:55:22,本科,3886971,Python开发工程师,10k-20k,3-5年
上海,上海拍拍贷金融信息服务有限公司,6044,2018-02-23 10:32:41,本科,3204657,python工程师,12k-24k,3-5年
上海,上海驻云信息科技有限公司,22809,2018-02-22 11:45:57,大专,2732718,Python开发工程师,15k-25k,3-5年
北京,仁科互动（北京）信息科技有限公司,3950,2018-02-07 13:09:37,本科,4103310,Python开发工程师,20k-35k,3-5年
上海,北京爱奇艺科技有限公司,1686,2018-02-24 10:41:54,本科,4055859,Python高级开发工程师,20k-30k,3-5年
北京,北京搜狗科技发展有限公司,1537,2018-02-24 10:13:55,本科,3482052,搜狗AI云-Python开发工程师,15k-25k,1-3年
北京,金色家园网络科技有限公司,53137,2018-02-24 09:29:14,本科,3265286,中级python工程师,15k-25k,3-5年
上海,上海阅文信息技术有限公司,28243,2018-02-23 10:18:43,本科,3913981,Python开发工程师,15k-25k,5-10年
广州,广州中国科学院计算机网络信息中心,88390,2018-02-23 09:16:12,本科,3975694,Python开发工程师,9k-15k,1-3年
北京,掌阅科技股份有限公司,2098,2018-02-24 17:17:43,本科,4142291,Python研发工程师（应届毕业生/实习生）,8k-15k,不限
上海,瞬联软件科技（北京）有限公司,14093,2018-02-24 16:23:41,本科,3384818,Python软件开发工程师,10k-15k,1-3年
武汉,北京推想科技有限公司,128888,2018-02-24 11:06:56,大专,3627014,python工程师,6k-12k,1年以下
北京,成都美洽网络科技有限公司,26087,2018-02-24 10:23:35,本科,2711869,python,18k-30k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:45:06,本科,3643144,高级Python工程师,20k-30k,3-5年
上海,上海拍拍贷金融信息服务有限公司,6044,2018-02-23 10:32:41,本科,3187889,python工程师,12k-24k,3-5年
北京,北京点石经纬科技有限公司,18165,2018-02-24 10:16:46,本科,3957184,Python工程师,15k-25k,3-5年
深圳,乐格商业咨询（深圳）有限公司,7918,2018-02-24 10:01:48,本科,3428217,Python高级开发工程师,16k-30k,3-5年
北京,深度加速（北京）科技有限公司,201435,2018-02-24 09:44:41,本科,4105596,Python研发工程师,20k-30k,3-5年
西安,西安逆袭网络科技有限公司,144191,2018-02-22 19:14:59,本科,4054414,Python开发工程师,10k-20k,3-5年
杭州,京东金融,534,2018-02-24 14:20:34,本科,2220485,Python开发工程师,15k-25k,3-5年
石家庄,石家庄佳诚网络技术有限公司,32242,2018-02-24 11:40:51,大专,3897455,python开发工程师,6k-9k,1-3年
北京,多点生活（中国）网络科技有限公司,72555,2018-02-24 09:46:55,本科,3647601,Python开发工程师,10k-20k,3-5年
北京,北京汇行科技有限公司,8861,2018-02-24 13:56:59,本科,3828846,高级Python工程师,15k-25k,1-3年
北京,北京乐信圣文科技有限责任公司,115290,2018-02-23 11:55:20,本科,2729942,高级Python开发工程师,20k-40k,3-5年
廊坊,智线云科技（北京）有限公司,111175,2018-02-24 14:21:27,本科,3388937,Python中级工程师,8k-15k,1-3年
上海,上海壤歌市场营销策划有限公司,39398,2018-02-24 10:11:02,不限,2441033,Python,12k-24k,3-5年
深圳,深圳市乐易网络有限公司,33627,2018-02-24 10:01:40,本科,3258029,python高级开发工程师,15k-30k,3-5年
北京,北京奇安信科技有限公司,148909,2018-02-23 17:38:57,本科,3768657,Python开发专家,20k-35k,5-10年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:41:30,本科,3643268,Python工程师,15k-20k,1-3年
北京,北京卡车之家信息技术股份有限公司,23998,2018-02-23 09:49:58,本科,4030248,python工程师,8k-15k,1-3年
北京,慧影医疗科技（北京）有限公司,67709,2018-02-06 14:03:54,本科,3067040,Python开发工程师,20K-40K,3-5年
北京,北京九州云动科技有限公司,34573,2018-02-24 17:15:53,本科,3995149,Python,15k-30k,1-3年
武汉,武汉乐谷在线科技有限公司,129682,2018-02-24 16:50:07,大专,1825536,Python,8k-16k,1-3年
北京,北京汇行科技有限公司,8861,2018-02-24 13:56:21,本科,3828877,高级Python,15k-25k,1-3年
上海,上海拍拍贷金融信息服务有限公司,6044,2018-02-23 18:29:55,不限,4135691,大数据研发工程师-python,15k-30k,不限
上海,平安科技（深圳）有限公司,24748,2018-02-23 16:41:39,本科,3215849,Python开发工程师（上海）,10k-15k,不限
南京,南京云思创智信息科技有限公司,253843,2018-02-23 14:21:26,本科,3972510,Python开发工程师,15k-20k,不限
